name,landing_points_countries,length_km,status,owner_or_consortium,source_url,last_updated
SEACOM,Kenya; Tanzania; Mozambique; South Africa,17000,Active,SEACOM Ltd,https://seacom.com,2025-09-01
Equiano,Nigeria; Togo; South Africa,12000,Active,Google,https://cloud.google.com,2025-09-01
