country,city,facility_name,operator,type,status,source_url,last_updated
Kenya,Nairobi,Raxio NBO,Raxio Data Centres,data center,Live,https://www.raxio.co.ug/,2025-09-01
Ethiopia,Addis Ababa,Ethio IX,Ethio Telecom,IXP,Planned,https://ethioix.et,2025-09-01
